epoch,mAP@50,mAP
001,0.000,0.000
002,0.000,0.000
003,0.000,0.000
004,0.000,0.000
005,0.000,0.000
006,0.000,0.000
007,0.000,0.000
008,0.000,0.000
009,0.000,0.000
010,0.000,0.000
011,0.000,0.000
012,0.000,0.000
013,0.000,0.000
014,0.000,0.000
015,0.000,0.000
016,0.001,0.000
017,0.000,0.000
018,0.001,0.000
019,0.004,0.001
020,0.004,0.001
021,0.007,0.002
022,0.009,0.003
023,0.010,0.003
024,0.010,0.003
025,0.000,0.000
026,0.000,0.000
027,0.016,0.004
028,0.007,0.002
029,0.005,0.002
030,0.006,0.002
